Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10
Element,9800,Element,9836,Element,9857,Element,9869,Element,Bottom:surface1,Element,Bottom:surface2,Element,WhippleShield:surface1,Element,bafflecylinder:surface2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
2057.033950805664,67.04188081717834,2057.033950805664,41.71343188972687,2057.033950805664,55.203471179325135,2057.033950805664,55.4211546713059,2057.033950805664,0.5104058385371351,2057.033950805664,-67.38095624892549,2057.033950805664,53.64066099010038,2057.033950805664,5.312574666851066
2127.9661560058594,66.90150040156388,2127.9661560058594,41.65780183062401,2127.9661560058594,55.14733249202732,2127.9661560058594,55.30123856722799,2127.9661560058594,0.05675155834434625,2127.9661560058594,-67.89061421189606,2127.9661560058594,53.53878919053896,2127.9661560058594,4.452425878133374
2198.8983612060547,66.76132606251515,2198.8983612060547,41.60218120888721,2198.8983612060547,55.090106406873495,2198.8983612060547,55.181370734886336,2198.8983612060547,-0.3609152041497947,2198.8983612060547,-68.27866390713996,2198.8983612060547,53.43688772877453,2198.8983612060547,3.672964174183826
2269.83056640625,66.62135068398985,2269.83056640625,41.54656172026089,2269.83056640625,55.03186609496844,2269.83056640625,55.06154868283906,2269.83056640625,-0.7505777333090238,2269.83056640625,-68.59040163678058,2269.83056640625,53.33497119817596,2269.83056640625,2.9657870460309477
2340.7627716064453,66.48157159193461,2340.7627716064453,41.49093829326866,2340.7627716064453,54.97268040426638,2340.7627716064453,54.94178060081862,2340.7627716064453,-1.1175112755571168,2340.7627716064453,-68.85295363931866,2340.7627716064453,53.233053421782856,2340.7627716064453,2.3230745588793535
2411.6949768066406,66.34198912158809,2411.6949768066406,41.4353081663904,2411.6949768066406,54.91261381486173,2411.6949768066406,54.82208070304751,2411.6949768066406,-1.4653111130254555,2411.6949768066406,-69.08273465817787,2411.6949768066406,53.13114744977981,2411.6949768066406,1.7376932404003809
2482.627182006836,66.20260556899733,2482.627182006836,41.37967012301889,2482.627182006836,54.8517262609552,2482.627182006836,54.702465862023594,2482.627182006836,-1.7965123540660317,2482.627182006836,-69.28979161546566,2482.627182006836,53.02926546426308,2482.627182006836,1.2032162062982634
2553.5593872070312,66.06342443113795,2553.5593872070312,41.32402389669304,2553.5593872070312,54.79007303971349,2553.5593872070312,54.58295346247958,2553.5593872070312,-2.1129719989583227,2553.5593872070312,-69.48035819180224,2553.5593872070312,52.92741870107997,2553.5593872070312,0.7138992988361686
2624.4915924072266,65.92444986283736,2624.4915924072266,41.26836973040743,2624.4915924072266,54.727704861119705,2624.4915924072266,54.46356016819233,2624.4915924072266,-2.41610841764787,2624.4915924072266,-69.6583691720273,2624.4915924072266,52.82561741576084,2624.4915924072266,0.2646355357691693
2695.423797607422,65.78568629590585,2695.423797607422,41.21270806430421,2695.423797607422,54.66466802254099,2695.423797607422,54.34430129629889,2695.423797607422,-2.7070526871283165,2695.423797607422,-69.82636426454306,2695.423797607422,52.72387089089337,2695.423797607422,-0.1490997609883643
2766.356002807617,65.64713817866054,2766.356002807617,41.15703932503127,2766.356002807617,54.6010046705009,2766.356002807617,54.225190565695954,2766.356002807617,-2.9867445760304223,2766.356002807617,-69.98603075015696,2766.356002807617,52.622187474007056,2766.356002807617,-0.5313060712769337
2837.2882080078125,65.50880980381251,2837.2882080078125,41.10136379253734,2837.2882080078125,54.536753112396326,2837.2882080078125,54.10624006088109,2837.2882080078125,-3.255993385320181,2837.2882080078125,-70.13853100560968,2837.2882080078125,52.52057463477798,2837.2882080078125,-0.8855132979679905
2908.220413208008,65.370705200397,2908.220413208008,41.04568152391255,2908.220413208008,54.47194814861481,2908.220413208008,53.98746031069929,2908.220413208008,-3.5155163638799447,2908.220413208008,-70.28470109395239,2908.220413208008,52.419039032594625,2908.220413208008,-1.2148339813743958
2979.152618408203,65.23282807140569,2979.152618408203,40.98999231786331,2979.152618408203,54.40662140432851,2979.152618408203,53.86886042136288,2979.152618408203,-3.765962823622587,2979.152618408203,-70.42517164553728,2979.152618408203,52.3175865880722,2979.152618408203,-1.522011222691629
3050.0848236083984,65.09518176346165,3050.0848236083984,40.934295707105946,3050.0848236083984,54.34080164773605,3050.0848236083984,53.750448228828084,3050.0848236083984,-4.007929185911859,3050.0848236083984,-70.56044167060993,3050.0848236083984,52.21622255425978,3050.0848236083984,-1.8094620300372104
3121.0170288085938,64.95776925847824,3121.0170288085938,40.878590969094795,3121.0170288085938,54.27451508709904,3121.0170288085938,53.63223045138091,3121.0170288085938,-4.241968337649891,3121.0170288085938,-70.6909237453102,3121.0170288085938,52.11495158490864,3121.0170288085938,-2.079316139136402
3191.949234008789,64.82059317997312,3191.949234008789,40.82287714806819,3191.949234008789,54.20778564290504,3191.949234008789,53.514212832762325,3191.949234008789,-4.46859547455658,3191.949234008789,-70.816971734423,3191.949234008789,52.01377779830465,3191.949234008789,-2.33345054463501
3262.8814392089844,64.68365580873918,3262.8814392089844,40.76715308334842,3262.8814392089844,54.140635194017115,3262.8814392089844,53.39640027155422,3262.8814392089844,-4.688291826317651,3262.8814392089844,-70.93889784338776,3262.8814392089844,51.91270483594162,3262.8814392089844,-2.573520069355257
3333.8136444091797,64.5469591041278,3333.8136444091797,40.71141744041551,3333.8136444091797,54.073083798281935,3333.8136444091797,53.27879693559895,3333.8136444091797,-4.901507146913479,3333.8136444091797,-71.05698315067362,3333.8136444091797,51.81173591580223,3333.8136444091797,-2.8009843349384584
